X_mean,X_std,X_median,X_max,X_min,X_interquartile_range,Y_mean,Y_std,Y_median,Y_max,Y_min,Y_interquartile_range,Z_mean,Z_std,Z_median,Z_max,Z_min,Z_interquartile_range,label
0.17844786666666668,1.0363608474565926,-0.10295049999999994,5.09965,-0.909797,0.06584,0.1674345333333333,1.1576034749844406,-0.13168099999999994,4.616021,-0.282516,0.04668675,9.605696899999996,0.4069033795748118,9.770737,9.80665,8.418014,0.034715750000000156,0.0
-0.09864106666666662,0.125847653653667,-0.114922,0.407014,-0.320823,0.039504750000000075,-0.13120213333333333,0.04805878225438834,-0.13168099999999994,0.0239419999999999,-0.244209,0.022745,9.771216033333332,0.025418793173125936,9.77792,9.80665,9.667787,0.01915299999999931,0.0
-0.09991786666666662,0.015642221948906444,-0.1005559999999999,-0.062249,-0.124498,0.02154775000000002,0.22090513333333334,0.01638287305175393,0.225055,0.244209,0.177171,0.019154000000000004,9.768502666666668,0.014528405542563566,9.768343,9.792285,9.739613,0.019154000000000337,0.0
0.400949,0.05288862024200905,0.3926489999999999,0.560243,0.268151,0.05027875000000004,-0.02952846666666665,0.05452489532487435,-0.02154799999999995,0.086191,-0.205901,0.04070099999999997,9.752541233333336,0.01796724209966054,9.751583499999999,9.797073,9.725247,0.022744749999999314,0.0
0.40094900000000006,0.05318677192232334,0.402226,0.560243,0.268151,0.05147600000000008,-0.027134266666666646,0.05400402244528885,-0.019154,0.086191,-0.205901,0.0407017499999999,9.753658533333333,0.01890154578559796,9.751583499999999,9.797073,9.725247,0.02753300000000003,0.0
0.40110860000000004,0.05405308339324633,0.3950429999999999,0.560243,0.268151,0.05147600000000008,-0.03000729999999998,0.05332036065348058,-0.02154799999999995,0.086191,-0.205901,0.035912999999999896,9.755095066666666,0.021841485280007362,9.753978,9.80665,9.720459,0.0323209999999996,0.0
0.3967990333333334,0.053524650780147856,0.39025499999999996,0.560243,0.268151,0.04309600000000008,-0.02697463333333331,0.05147261568324182,-0.02154799999999995,0.086191,-0.205901,0.03232174999999992,9.7578085,0.024493712491942196,9.753978,9.821015,9.720459,0.03112400000000015,0.0
0.3983951333333334,0.0521883869574735,0.39025499999999996,0.560243,0.268151,0.04309600000000008,-0.030805366666666643,0.048908020639368735,-0.02633599999999995,0.086191,-0.205901,0.0323219999999999,9.760043066666666,0.024478655102978378,9.756371999999999,9.821015,9.720459,0.031124750000000034,0.0
0.3912125333333334,0.049109236771980466,0.38546649999999993,0.560243,0.268151,0.038308000000000064,-0.03048616666666664,0.04853152586478574,-0.02633599999999995,0.086191,-0.205901,0.0323219999999999,9.760362299999997,0.02429708864516546,9.758766,9.821015,9.720459,0.02753300000000003,0.0
0.3944048333333334,0.05099431815414093,0.387861,0.560243,0.268151,0.041899000000000075,-0.03335919999999997,0.049690650228152076,-0.02873,0.086191,-0.205901,0.0323219999999999,9.758925799999998,0.02430193992739006,9.758766,9.821015,9.720459,0.0323209999999996,0.0
0.3920106333333334,0.050593506525206305,0.38546649999999993,0.560243,0.268151,0.041898999999999964,-0.030166933333333312,0.05295156722042181,-0.02633599999999995,0.086191,-0.205901,0.033518999999999896,9.757010433333335,0.02500748047489575,9.756371999999999,9.821015,9.720459,0.035912749999999605,0.0
0.3894568000000001,0.04979963910712608,0.3830719999999999,0.560243,0.268151,0.03471574999999999,-0.031922666666666634,0.05179189415831155,-0.02633599999999995,0.086191,-0.205901,0.0323219999999999,9.756691233333335,0.025171335311370828,9.756371999999999,9.821015,9.720459,0.035912749999999605,0.0
0.3891375666666667,0.04969791185905676,0.3830719999999999,0.560243,0.268151,0.03471574999999999,-0.02920919999999997,0.050759030241544885,-0.0239419999999999,0.086191,-0.205901,0.033518999999999896,9.758606600000002,0.02494417032522402,9.761160499999999,9.821015,9.720459,0.03351799999999905,0.0
-0.10215246666666661,0.01660340355164719,-0.105345,-0.062249,-0.1292869999999999,0.017956750000000105,0.22106473333333337,0.01654374202746357,0.225055,0.244209,0.177171,0.019154000000000004,9.770418000000001,0.015020736165897913,9.770737,9.792285,9.739613,0.022744749999999314,0.0
0.38897793333333347,0.04983692840754587,0.38067799999999996,0.560243,0.268151,0.03591299999999997,-0.027134233333333306,0.05106933415680627,-0.0239419999999999,0.086191,-0.205901,0.03471649999999993,9.759404666666665,0.02453670255553594,9.761160499999999,9.821015,9.720459,0.0323209999999996,0.0
0.3891375666666667,0.050046698707261424,0.378284,0.560243,0.268151,0.03591299999999997,-0.027932299999999972,0.05047366934807316,-0.0239419999999999,0.086191,-0.205901,0.031124749999999923,9.760841199999998,0.023582038359734582,9.763555,9.821015,9.720459,0.02753300000000003,0.0
0.3929683,0.0475515723850033,0.38546649999999993,0.560243,0.268151,0.03232200000000007,-0.02601696666666664,0.04851847977156413,-0.0239419999999999,0.086191,-0.205901,0.023941999999999998,9.760202733333333,0.023831070883274883,9.763555,9.821015,9.720459,0.028729999999999478,0.0
0.39232986666666675,0.04728478299712349,0.38546649999999993,0.560243,0.268151,0.02753375000000008,-0.026176566666666637,0.048941151060039545,-0.0239419999999999,0.086191,-0.205901,0.031124749999999923,9.76147963333333,0.024112519387358516,9.763555,9.821015,9.720459,0.03232174999999948,0.0
0.39376636666666676,0.046995459384104224,0.387861,0.560243,0.268151,0.02633650000000004,-0.02585733333333331,0.04905196123347746,-0.0239419999999999,0.086191,-0.205901,0.03471649999999993,9.762118066666666,0.023496972528293865,9.763555,9.821015,9.720459,0.031124750000000034,0.0
